date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:25	113/113	---M-Z	200	added ('OK')	text/plain	date:Mon,%2028%20Aug%202023%2012:04:54%20GMT	https://tykit.rometheme.pro/robots.txt		(from )
17:06:27	302408/302408	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2012:04:54%20GMT	https://tykit.rometheme.pro/taxation/template-kit/homepage/	C:/taxation/tykit.rometheme.pro/taxation/template-kit/homepage/index.html	(from )
17:06:28	104484/104484	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202023%2007:07:26%20GMT	https://tykit.rometheme.pro/taxation/wp-includes/css/dist/block-library/style.min.css?ver=6.3	C:/taxation/tykit.rometheme.pro/taxation/wp-includes/css/dist/block-library/style.minf801.css	(from https://tykit.rometheme.pro/taxation/template-kit/homepage/)
17:06:28	1111/1111	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Oct%202021%2006:04:33%20GMT	https://tykit.rometheme.pro/taxation/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	C:/taxation/tykit.rometheme.pro/taxation/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://tykit.rometheme.pro/taxation/template-kit/homepage/)
17:06:28	6082/6082	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2002:51:50%20GMT	https://tykit.rometheme.pro/taxation/wp-content/themes/hello-elementor/style.min.css?ver=2.8.1	C:/taxation/tykit.rometheme.pro/taxation/wp-content/themes/hello-elementor/style.min1102.css	(from https://tykit.rometheme.pro/taxation/template-kit/homepage/)
17:06:29	13055/13055	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2002:51:50%20GMT	https://tykit.rometheme.pro/taxation/wp-content/themes/hello-elementor/theme.min.css?ver=2.8.1	C:/taxation/tykit.rometheme.pro/taxation/wp-content/themes/hello-elementor/theme.min1102.css	(from https://tykit.rometheme.pro/taxation/template-kit/homepage/)
17:06:29	111852/111852	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2018:10:51%20GMT	https://tykit.rometheme.pro/taxation/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.15.3	C:/taxation/tykit.rometheme.pro/taxation/wp-content/plugins/elementor/assets/css/frontend-lite.minb73d.css	(from https://tykit.rometheme.pro/taxation/template-kit/homepage/)
17:06:29	14611/14611	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Jun%202023%2021:27:27%20GMT	https://tykit.rometheme.pro/taxation/wp-content/uploads/sites/107/elementor/css/post-4.css?ver=1687814847	C:/taxation/tykit.rometheme.pro/taxation/wp-content/uploads/sites/107/elementor/css/post-4a3f9.css	(from https://tykit.rometheme.pro/taxation/template-kit/homepage/)
17:06:30	19488/19488	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2018:10:51%20GMT	https://tykit.rometheme.pro/taxation/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.21.0	C:/taxation/tykit.rometheme.pro/taxation/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind618.css	(from https://tykit.rometheme.pro/taxation/template-kit/homepage/)
17:06:30	12876/12876	---M-Z	200	added ('OK')	text/css	date:Sun,%2020%20Aug%202023%2018:10:51%20GMT	https://tykit.rometheme.pro/taxation/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/taxation/tykit.rometheme.pro/taxation/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://tykit.rometheme.pro/taxation/template-kit/homepage/)
